Name,Area,Cuisine,Rating,Rating Count,Price,Availability
Dining Out,N/A,N/A,N/A,N/A,N/A,Delivery
The Houz - Family Kitchen,N/A,"North Indian, Continental, Chinese, Italian, Asian, Salad, Tea, Beverages",4.2,N/A,"₹2,000 for two",Opens at 5pm
Houz - On the Top,N/A,"Continental, Alcoholic Beverages, Shake, Beverages",4.0,N/A,₹950 for two,2BHK Diner & Key Club
Epitome,N/A,"North Indian, Sushi, Asian, Italian, Chinese, Fast Food, Desserts, Beverages",4.2,N/A,"₹2,000 for two",N/A
SKYE - Rooftop by Eternia,N/A,"North Indian, Chinese, Fast Food, Biryani, Mughlai, Oriental, Continental, Desserts",4.3,N/A,"₹1,500 for two",Opens at 5pm
Murphies - Bistro & Bar,N/A,"European, Continental, Asian, Bakery, Pasta, Coffee, Desserts, Salad",4.2,N/A,"₹2,300 for two",Opens in 3 minutes
Mister Merchant’s,N/A,"Middle Eastern, Arabian, Kebab, Lebanese, Mediterranean",4.9,N/A,"₹1,400 for two",N/A
Planet 9,N/A,"North Indian, Mughlai, Mexican, Biryani, Beverages",4.4,N/A,"₹1,500 for two",N/A
High Garden,N/A,"North Indian, Chinese, Italian, Biryani, Desserts, Bar Food, Finger Food, Kebab",4.3,N/A,"₹1,300 for two",N/A
Oi Brewhouse,Viman Nagar,"Continental, Oriental",4.3,N/A,"₹1,500 for two",N/A
Kukoo,N/A,"Continental, Asian, Italian, Modern Indian, Salad, Desserts, Alcoholic Beverages, Beverages",4.4,N/A,"₹1,500 for two",N/A
Cherie,N/A,"Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts",4.6,N/A,"₹2,000 for two",Open Window Cafe Bistro
La Sicilia Bistro & Patisserie,N/A,"Continental, Italian, Salad, Sandwich, Burger, Desserts, Coffee, Beverages",4.2,N/A,₹500 for two,N/A
Akasa Poolbar & Kitchen,N/A,"Continental, North Indian, Bar Food, Asian, Italian",4.1,N/A,"₹1,500 for two",N/A
Little Italy,N/A,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages",4.4,N/A,"₹2,400 for two",N/A
Rio Kitchen & Bar,N/A,"Chinese, Continental, Pasta, North Indian, Salad, BBQ, Fast Food, Beverages",4.0,N/A,"₹1,400 for two",Opens in 3 minutes
Chug Biergarten,N/A,"Continental, Oriental, Burger, Modern Indian, Pizza, Asian, Desserts, Alcoholic Beverages",4.5,N/A,"₹1,200 for two",N/A
Fiori,N/A,"Cafe, Coffee, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages",4.1,N/A,"₹1,400 for two",Opens in 3 minutes
Code - The Speakeasy Bar,N/A,"North Indian, Chinese, Continental, Fast Food, Biryani, Beverages",4.3,N/A,"₹2,300 for two",N/A
Tipplr,Viman Nagar,"Continental, Asian, North Indian, Alcoholic Beverages",4.4,N/A,"₹1,200 for two",N/A
The House Of Jeera,N/A,"Continental, North Indian, Chinese",4.4,N/A,"₹1,300 for two",Opens at 5pm
